Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
Rigs-2,Ekofisk,9081.81,2.01,2.27,3.58,3.57,2.26,2.04,79.02,15.16,5.82,24.78,12.07,10.26,16.35,9.46,0.17,0.26,0.5,8153.02,4220.6,6204.39,14.82,8.57,10.08,8.57,3.4,1.94,3.27,2.07
Rigs-1,Ekofisk,9081.81,1.95,2.24,3.35,3.41,2.12,1.88,92.18,4.77,3.05,27.28,10.19,8.76,15.48,7.91,0.17,0.28,0.55,8153.02,4220.6,6007.65,13.04,6.66,7.75,6.66,3.13,1.73,2.92,1.85
Rigs-1,Ekofisk,9088.37,2.07,2.31,3.36,3.52,2.18,1.92,84.53,12.19,3.28,22.6,10.24,9.83,17.3,8.53,0.14,0.29,0.45,8159.38,4224.12,6380.59,13.54,6.68,6.96,6.68,3.11,1.7,2.77,1.8
Rigs-2,Ekofisk,9094.93,1.65,2.05,2.58,2.68,1.7,1.45,82.95,14.26,2.79,38.2,4.63,4.77,8.97,4.31,0.12,0.29,0.76,8165.96,4227.85,5157.57,7.11,3.42,3.31,3.42,2.39,1.29,2.18,1.44
Rigs-1,Ekofisk,9101.49,1.76,2.12,3.04,3.05,1.89,1.64,89.4,8.97,1.63,34.3,7.89,6.29,12.11,5.7,0.18,0.3,0.69,8171.78,4230.83,5468.46,10.37,4.88,6.12,4.88,2.82,1.52,2.68,1.66
Rigs-1,Ekofisk,9121.18,1.87,2.19,3.19,3.21,1.97,1.76,90.72,7.65,1.63,30.31,9.35,7.25,13.5,6.77,0.19,0.29,0.61,8189.83,4240.36,5795.9,12.0,6.02,7.76,6.02,3.03,1.66,2.91,1.8
Rigs-2,Ekofisk,9124.46,1.63,2.04,2.55,2.66,1.64,1.4,90.84,6.62,2.55,39.17,4.74,4.37,9.08,3.99,0.15,0.31,0.78,8192.94,4242.05,5098.0,7.18,3.15,3.42,3.15,2.37,1.25,2.17,1.39
Rigs-2,Ekofisk,9137.59,1.52,1.97,2.39,2.51,1.54,1.29,90.1,7.55,2.35,42.89,3.88,3.6,8.05,3.28,0.15,0.32,0.86,8204.51,4247.93,4810.88,6.18,2.52,2.71,2.52,2.2,1.13,2.0,1.29
Rigs-1,Ekofisk,9144.15,2.2,2.39,4.12,4.2,2.53,2.38,76.8,18.83,4.37,17.54,18.58,14.09,24.16,13.57,0.2,0.26,0.35,8210.11,4250.69,6821.1,21.33,11.98,15.79,11.98,3.95,2.24,3.8,2.33
Rigs-2,Ekofisk,9157.27,2.01,2.26,3.41,3.51,2.23,2.01,61.99,33.62,4.39,24.83,10.05,10.0,15.7,9.15,0.13,0.26,0.5,8223.72,4258.62,6254.44,12.89,7.51,7.55,7.51,3.18,1.82,2.96,1.93
